task_id,purchase_number,title,amount_rub,rule_category,anomaly_flags,llm_category,category_confidence,single_supplier_signal,unsupported_inference_terms,needs_manual_review,observation,interpretation,significance,limitation
purchase-126654667,126654667,Приобретение ноутбука Lenovo V15 G4,60000.0,it_and_telecom,cancelled_procedure|cancelled_then_republished,IT и телекоммуникации (закупка оборудования),0.95,,корруп|нарушен,1,"В документе указана закупка ноутбука Lenovo V15 G4 на сумму 60 000 рублей для АО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"". В поле anomaly_flags присутствуют значения 'cancelled_procedure' и 'cancelled_then_republished', что указывает на отмену предыдущей процедуры закупки и ее повторное опубликование.","Наличие флагов, указывающих на отмену и перепубликацию, является сигналом о том, что процедура была изменена после первоначального объявления. Это требует проверки причин отмены (например, несоответствие требованиям участников или ошибка в документации) для оценки влияния на конкуренцию.","Отмена процедуры может свидетельствовать о попытке изменить условия закупки или исправить ошибки, однако без дополнительных данных нельзя утверждать наличие нарушений закона или коррупции. Необходима верификация документа и анализ причин отмены.","В предоставленных входных данных отсутствуют информация об участниках закупочной процедуры, итоговой цене контракта (если она изменилась), причинах отмены и результатах повторного конкурса. Следовательно, выводы о наличии аномалий или нарушений носят предварительный характер."
purchase-102395652,102395652,Приобретение ноутбука Lenovo V15 G4,60000.0,it_and_telecom,cancelled_then_republished,IT и телекоммуникации (закупка оборудования),0.95,,прозрачн,1,"В документе указана закупка ноутбука Lenovo V15 G4 на сумму 60 000 рублей для АО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"". В поле anomaly_flags присутствует флаг 'cancelled_then_republished', указывающий на отмену и повторную публикацию извещения.","Наличие флага 'cancelled_then_republished' является сигналом, требующим проверки подлинности документа. Отмена может быть связана с изменением технических требований, ошибками в исходных данных или попыткой скрыть предыдущие условия закупки. Сумма сделки (60 000 руб.) не позволяет однозначно оценить рыночную аномалию без сравнения с историческими данными по аналогичному оборудованию.",Необходимо запросить у заказчика пояснения относительно причин отмены предыдущего извещения и обоснование необходимости повторной публикации. Это важно для обеспечения прозрачности процедуры закупки и предотвращения манипуляций с условиями контракта.,"В предоставленных данных отсутствуют информация о дате первоначальной публикации, причинах отмены, количестве участников в первой попытке или рыночных ценах на аналогичное оборудование, что ограничивает возможность детального анализа аномалии."
purchase-124040848,124040848,Оказание услуг питания,99000.0,logistics_and_facilities,same_subject_price_jump,логистика и инфраструктура (питание),0.95,,нарушен,1,"В документе указана закупка услуг питания на сумму 99 000 рублей от АО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"". В поле anomaly_flags присутствует флаг same_subject_price_jump, указывающий на потенциальный скачок цены у одного и того же субъекта.","Наличие флага same_subject_price_jump является сигналом о необходимости проверки истории закупок для данного заказчика или категории услуг питания. Резкий рост цены может свидетельствовать об изменении рыночных условий, специфических требованиях к поставке или отсутствии конкуренции на данном этапе, но не подтверждает факт нарушения закона.",Требует детального анализа предыдущих контрактов с этим заказчиком для подтверждения обоснованности изменения цены и выявления причин скачка стоимости услуг питания.,"Отсутствуют данные о конкретном поставщике, истории цен за прошлые периоды и условиях рынка в момент составления заявки. Флаг anomaly_flags трактуется как предварительный сигнал, требующий документальной верификации."
purchase-105075646,105075646,Оказание услуг питания,44900.0,logistics_and_facilities,same_subject_price_jump,логистика и инфраструктура (питание),0.95,,корруп|нарушен,1,"В документе указана закупка услуг питания на сумму 44 900 рублей от АО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"". В поле anomaly_flags присутствует флаг same_subject_price_jump, указывающий на возможное резкое изменение цены по сравнению с предыдущими сделками.","Наличие флага price_jump требует проверки истории закупок у данного поставщика для подтверждения факта скачка стоимости или изменения объема работ. Это может свидетельствовать о необходимости пересмотра условий контракта, но не является доказательством нарушения закона без сравнения с базой данных предыдущих лотов.",Необходимо провести верификацию документа и запросить историю цен у поставщика для исключения необоснованного завышения стоимости услуг питания в текущем периоде.,"Отсутствуют данные о предыдущих закупках, количестве участников тендера или детализации состава работ, что не позволяет подтвердить факт нарушения законодательства или коррупционной составляющей."
purchase-86398313,86398313,СРОЧНО! Изготовление блокнотов с логотипом компании,54642.0,other,cancelled_procedure,Закупка канцелярских товаров и сувенирной продукции с флагом отмены процедуры,0.85,,,0,"В документе указана закупка на сумму 54642 рублей у АО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"" с заголовком 'Изготовление блокнотов'. В поле anomaly_flags присутствует флаг 'cancelled_procedure', указывающий на отмену процедуры. Дата закупки 2025-03-04.","Наличие флага 'cancelled_procedure' свидетельствует о том, что процедура закупок была прекращена или аннулирована после объявления. Это может быть связано с изменением потребностей заказчика, ошибками в документации или другими причинами, требующими проверки контекста отмены.",Отмена процедуры требует выяснения причин для предотвращения повторения подобных ситуаций и оценки эффективности использования бюджетных средств на данном этапе.,"В предоставленных данных отсутствуют подробности о причине отмены (например, отсутствие заявок или изменение ТЗ), поэтому интерпретация носит предварительный характер."
purchase-95505294,95505294,Пластиковые лотки для складского хранения,0.0,other,cancelled_procedure,Закупка товаров (пластиковые лотки),0.95,,,0,"В документе указана закупка пластиковых лотков для складского хранения у ООО ""СБЕРБАНК-СЕРВИС"" на сумму 0 рублей с флагом аномалии 'cancelled_procedure' (аннулированная процедура). Дата публикации — 29 декабря 2025 года.","Флаг 'cancelled_procedure' указывает на то, что данная закупочная процедура была прекращена или отменена. Отсутствие суммы контракта и статуса победителя подтверждает незавершенность процесса в момент фиксации данных.","Аномалия требует дополнительной проверки для выяснения причин аннулирования (например, несоответствие требованиям закона, ошибка в документации) и определения текущего статуса закупки.","В предоставленных входных данных отсутствуют информация о победителе, итоговой стоимости контракта или причинах отмены процедуры. Факт аномалии является лишь указанием на необходимость верификации документа."
purchase-37661500,37661500,Поддон деревянный 1200*800 б\у 2 сорт,0.0,other,cancelled_procedure,,,False,,0,"В документе указано наличие флага аномалии 'cancelled_procedure' (отмененная процедура) для закупки поддона деревянного б/у у ООО ""СБЕРБАНК-СЕРВИС"". Сумма контракта не указана.","Флаг отмены процедуры требует проверки: необходимо установить причину отмены, статус текущего тендерного процесса и наличие новых участников или условий закупки.","Отмена процедуры может указывать на необходимость пересмотра параметров закупки (например, спецификации товара) или выявление ошибок в планировании до начала торгов.","В предоставленных данных отсутствуют информация о дате отмены, причине отказа и статусе повторного размещения извещения; требуется доступ к полному тексту документации для верификации фактов."
purchase-86803403,86803403,Стрейч-плёнка 20 мкм 50 см*100м,0.0,other,cancelled_procedure,Отмена процедуры закупки,0.95,,нарушен,1,В документе указана процедура с номером 86803403 от 18 декабря 2025 года на поставку стрейч-плёнки. Поле суммы закупки имеет значение 0 рублей. В списке флагов аномалий присутствует отметка 'cancelled_procedure' (отмена процедуры).,"Факт отмены процедуры является констатацией текущего статуса заявки, однако отсутствие указанной стоимости и деталей о причинах отмены не позволяет сделать выводы об эффективности расходов или наличии нарушений.","Отсутствие финансовой оценки делает невозможным анализ ценовых рисков на данном этапе. Статус 'отменена' требует дополнительной проверки для понимания причин (технические ошибки, изменение потребностей заказчика и т.д.).",Данные о сумме закупки отсутствуют или некорректно заполнены как нулевые; отсутствует информация об участниках процедуры и причинах её отмены.
purchase-101471954,101471954,Закупка батарей для СХД Dell,0.0,other,cancelled_procedure,Закупка оборудования для систем хранения данных (СХД),0.95,,нарушен,1,В документе указана закупка батарей для СХД Dell на сумму 0 рублей с флагом аномалии 'cancelled_procedure' (отмененная процедура). Дата публикации — 15 декабря 2025 года.,"Флаг отмены процедуры указывает на прекращение текущего этапа закупки. Отсутствие суммы может свидетельствовать о том, что контракт еще не заключен или сумма была изменена/не указана в заголовке уведомления. Требуется проверка статуса процедуры для понимания причин её отмены и наличия новых объявлений.","Отмена процедуры требует анализа на предмет соблюдения законодательства о закупках: были ли законные основания, уведомлены ли участники, не нарушены ли сроки публикации нового извещения.","В предоставленных данных отсутствует информация об участниках торгов, итоговой сумме контракта или причинах отмены. Сумма в поле 'amount_rub' равна нулю, что может быть артефактом формата заголовка уведомления, а не отражением реального финансового объема."
purchase-25918790,25918790,Срочно. Поставка кофе-машин,0.0,other,cancelled_procedure,,,False,прозрачн,1,"В документе указано наличие флага аномалии 'cancelled_procedure' (отмененная процедура) для закупки с номером 25918790 у клиента ООО ""СБЕРБАНК-СЕРВИС"". Сумма контракта указана как 0,0 руб., что может свидетельствовать о предварительном этапе или ошибке в данных.","Флаг 'cancelled_procedure' является сигналом для проверки: необходимо установить причину отмены процедуры (например, несоответствие требованиям участников, ошибка в документации) и определить статус закупки на текущий момент. Отсутствие суммы контракта требует уточнения фактических параметров сделки.","Отмена процедуры может указывать на необходимость пересмотра условий тендера или изменения поставщиков, что влияет на прозрачность процесса закупок и сроки получения товара (кофе-машин).","Данные отсутствуют для подтверждения фактов отмены: нет информации о дате отмены, причине отказа в участии конкретных компаний, итоговой стоимости контракта после пересмотра или статусе новой процедуры. Требуется доступ к полному тексту извещения и протоколам рассмотрения заявок."
purchase-101977184,101977184,Оказание услуг по проведению специальных психофизиологических исследований с использованием полиграфа,0.0,professional_services,cancelled_procedure,профессиональные услуги (психологические исследования/полиграфия),0.95,,нарушен,1,"В документе указано название закупки 'Оказание услуг по проведению специальных психофизиологических исследований с использованием полиграфа', заказчик — ООО ""СБЕРБАНК-СЕРВИС"", дата публикации — 2025-11-27. В поле amount_rub значение равно 0,0. Присутствует флаг аномалии 'cancelled_procedure'.","Флаг 'cancelled_procedure' указывает на то, что процедура закупки была отменена или прекращена до заключения контракта. Отсутствие суммы (0,0) может свидетельствовать о том, что контракт еще не заключен, сумма определена позже, либо документ является уведомлением об отмене без фиксации цены.","Отмена процедуры требует проверки причин: были ли выявлены нарушения законодательства, технические ошибки в документации или изменение потребностей заказчика. Отсутствие суммы затрудняет оценку экономической эффективности на текущем этапе.",Для полной оценки ситуации необходимо получить доступ к полному тексту закупочной документации и официальным уведомлениям об отмене процедуры для выяснения причин прекращения процесса.
purchase-77661112,77661112,Заключение договора на предоставление Интернета,0.0,it_and_telecom,,IT и телекоммуникации (Интернет-соединение),0.95,,,0,"В документе указано заключение договора на предоставление услуг Интернета для ООО ""СБЕРБАНК-СЕРВИС"" от 27 ноября 2025 года. Сумма контракта указана как 0 рублей.","Отсутствие суммы в заявке может указывать на то, что это предварительное уведомление о закупке (тендер), где цена определяется победителем аукциона или путем переговоров, либо данные еще не заполнены. Отсутствие флагов аномалий предполагает стандартную процедуру.",Документ требует верификации для подтверждения наличия конкурентной процедуры и определения итоговой стоимости контракта перед публикацией результатов закупки.,"Анализ ограничен предоставленными метаданными; отсутствуют информация о потенциальных поставщиках, условиях договора или результатах оценки заявок."
purchase-59304153,59304153,Запрос КП (ЗИП для печатной техники),0.0,other,cancelled_procedure,Запрос коммерческого предложения (ЗИП для печатной техники),0.95,,корруп|нарушен|сговор,1,"В документе зафиксирован запрос КП на поставку ЗИП для печатной техники от ООО ""СБЕРБАНК-СЕРВИС"". Указана дата публикации (2025-11-24). В поле суммы указано значение 0,0 руб., что не позволяет оценить стоимость контракта по тексту объявления. Присутствует флаг аномалии 'cancelled_procedure'.","Флаг 'cancelled_procedure' указывает на то, что процедура закупки была прекращена или отменена до момента заключения договора. Отсутствие суммы в объявлении является стандартной практикой для запросов КП (запрос цен), где цена формируется после получения предложений поставщиков и не фиксируется заранее.","Отсутствие подтвержденных фактов о нарушении законодательства, коррупции или сговора на основании данного объявления. Флаг отмены процедуры требует проверки причин её прекращения: была ли она связана с отсутствием заявок, несоответствием требованиям или стратегическим решением заказчика.","Анализ ограничен только текстом уведомления и метаданными (флагами). Отсутствуют данные о результатах рассмотрения предложений поставщиков, причинах отмены процедуры и итоговой стоимости закупки. Требуется доступ к полному пакету документов для верификации статуса сделки."
purchase-114992272,114992272,Заключение договора на предоставление Интернета,0.0,it_and_telecom,,IT и телекоммуникации (Интернет-соединение),0.95,,нарушен,1,"В документе указано заключение договора на предоставление услуг Интернета для ООО ""СБЕРБАНК-СЕРВИС"" от 20 ноября 2025 года. Сумма контракта указана как 0 рублей.","Отсутствие суммы (0.0) в официальном извещении о закупке является аномалией, так как для заключения договора обычно требуется определенная стоимость услуг или бюджетное планирование. Отсутствие флага нарушения не подтверждает законность процедуры без проверки полноты данных.","Необходимо провести верификацию документа: уточнить наличие суммы контракта в исходных источниках, проверить статус закупки (на стадии извещения или уже завершена) и подтвердить отсутствие ошибок при формировании заявки.","Анализ ограничен предоставленными данными; отсутствуют информация о потенциальных поставщиках, условиях договора и истории закупок у данного заказчика."
purchase-31786099,31786099,Закупка термоголовок Custom,0.0,other,cancelled_procedure,Закупка термоголовок Custom (другая категория),0.85,,,0,"В документе указана закупка термоголовок с суммой в рублях равной нулю и флагом аномалии 'cancelled_procedure' (отмененная процедура). Дата публикации — 2025-11-20. Информация о поставщике, итоговой стоимости контракта или победителе отсутствует.","Флаг отмены процедуры указывает на то, что данный тендер не был завершен успешно в текущей форме. Отсутствие суммы и данных о поставщиках подтверждает статус незавершенного или аннулированного процесса. Требуется дополнительная проверка для выяснения причин отмены (например, несоответствие заявок требованиям).","Отмена процедуры может свидетельствовать об ошибках в планировании закупки, отсутствии подходящих предложений на рынке или изменении потребностей заказчика до завершения этапа оценки.","Данные ограничены только заголовком и флагом аномалии. Отсутствует доступ к полному тексту извещения, поэтому невозможно подтвердить причины отмены или наличие скрытых участников."
purchase-128712642,128712642,Заключение договора на предоставление Интернета,0.0,it_and_telecom,,IT и телекоммуникации: подключение к сети Интернет,0.95,,,0,"В документе указано заключение договора на предоставление услуг Интернета для ООО ""СБЕРБАНК-СЕРВИС"" от 19 ноября 2025 года. Сумма контракта указана как 0 рублей.","Отсутствие суммы контракта (значение 0) является фактом, указанным в исходных данных; это может означать отсутствие информации о стоимости на момент публикации или ошибку заполнения поля. Отсутствие флагов аномалий не подтверждает корректность процедуры закупки без проверки полноты документа.","Необходимо провести верификацию полного текста извещения для подтверждения суммы контракта и выявления потенциальных рисков, связанных с отсутствием финансовой информации или неполными данными о поставщиках.","Анализ ограничен только предоставленными полями JSON; отсутствуют данные об участниках закупки, условиях конкурса и исторических ценах на аналогичные услуги."
purchase-102938025,102938025,Салфетки антибактериальные,0.0,other,cancelled_procedure,,,False,корруп|нарушен,1,"В документе указано название закупки 'Салфетки антибактериальные', сумма составляет 0.0 рублей, а статус процедуры помечен флагом anomaly_flags: ['cancelled_procedure']. Дата публикации указана как 2025-11-17.","Флаг cancelled_procedure указывает на отмену закупочной процедуры. Отсутствие суммы (0.0) может свидетельствовать о том, что процедура не была завершена или данные еще не заполнены корректно в источнике данных.","Отмена процедуры требует проверки причин: возможно, были выявлены нарушения законодательства, отсутствие конкуренции или технические ошибки при публикации.",Для точной оценки ситуации необходимо получить полный текст извещения закупки и документы о причинах отмены. Текущие данные недостаточны для вывода о виновных сторонах или конкретных фактах коррупции.
purchase-118042973,118042973,Поставка средств индивидуальной защиты,0.0,other,cancelled_procedure,Закупка средств индивидуальной защиты с отмененной процедурой,0.95,,нарушен,1,"В документе указана закупка у ООО ""СБЕРБАНК-СЕРВИС"" на поставку средств индивидуальной защиты с суммой в размере 0 рублей. В поле anomaly_flags присутствует флаг 'cancelled_procedure', указывающий на отмену процедуры.","Наличие флага 'cancelled_procedure' свидетельствует о том, что процедура закупки была прекращена или аннулирована до завершения. Отсутствие суммы (0.0) может означать отсутствие утвержденного бюджета на текущий момент, ошибку в данных или предварительный статус заявки.","Отмена процедуры требует проверки причин: это могло быть связано с изменением потребностей заказчика, отсутствием подходящих предложений от участников рынка или выявлением нарушений при планировании. Отсутствие финансовой оценки затрудняет анализ эффективности расходов.","Данные не содержат информации о причинах отмены закупки, количестве потенциальных поставщиков, сроках процедуры и итоговом статусе (например, была ли проведена повторная процедура). Сумма в нуле делает невозможным расчет стоимости контракта или сравнение с рыночными ценами."
purchase-5706414,5706414,Запрос КП на поставку термоголовок для Custom,0.0,other,cancelled_procedure,Запрос коммерческого предложения на поставку термоголовок для Custom,0.95,,нарушен,1,"В документе указан запрос КП от ООО ""СБЕРБАНК-СЕРВИС"" на поставку термоголовок для Custom с датой 2025-11-12. В поле суммы указана величина 0.0 руб. Присутствует флаг аномалии 'cancelled_procedure'.","Флаг 'cancelled_procedure' указывает на отмену процедуры закупки, однако отсутствие данных о сумме и причинах отмены требует дополнительной проверки подлинности документа.",Необходимо подтвердить статус процедуры: была ли она действительно отменена или это техническая ошибка в системе. Отсутствие суммы делает невозможным анализ ценовых рисков на текущем этапе.,"Данные о сумме контракта отсутствуют (0.0), что ограничивает возможность оценки финансовой значимости закупки и выявления потенциальных нарушений законодательства о контрактной системе."
purchase-29473565,29473565,Закупка масляных обогревателей,0.0,other,cancelled_procedure,,,,,0,"В документе указана закупка масляных обогревателей у ООО ""СБЕРБАНК-СЕРВИС"" на сумму 0 рублей. В поле anomaly_flags присутствует флаг 'cancelled_procedure'.","Флаг 'cancelled_procedure' указывает на отмену процедуры, однако отсутствие суммы (0.0) и неясный статус категории требуют дополнительной проверки подлинности документа.",Необходимо подтвердить факт существования закупки и причину её аннулирования или отсутствия финансовых данных перед принятием решений о рисках.,"Отсутствуют данные об итоговой стоимости, дате завершения процедуры и причинах отмены; информация ограничена заголовком и флагом."
purchase-42851135,42851135,Закупка кабелей питания,0.0,logistics_and_facilities,cancelled_procedure,логистика и инфраструктура,0.95,,нарушен,1,В документе указана закупка кабелей питания на сумму 0 рублей с флагом аномалии 'отмененная процедура'. Дата публикации — 2025-11-05.,"Флаг 'cancelled_procedure' указывает на прекращение процедуры, однако отсутствие суммы и деталей закупки не позволяет подтвердить причины отмены или наличие рисков. Требуется дополнительная проверка для выяснения статуса сделки.",Отсутствие финансовых данных делает невозможной оценку эффективности расходов или выявления нарушений в рамках текущей информации.,"Информация ограничена заголовком и флагом аномалии; отсутствуют данные о поставщиках, условиях контракта и причинах отмены процедуры."
purchase-14581757,14581757,"Выполнение работ по ремонту офисной техники ООО ""Сбербанк-Сервис"" в г. Краснодар",490000.0,construction_and_repair,cancelled_procedure,строительные и ремонтные работы,0.95,,нарушен,1,"В документе указано название закупки на выполнение работ по ремонту офисной техники в г. Краснодар для ООО ""Сбербанк-Сервис"" с суммой 490 000 рублей и датой 2025-10-31. В поле anomaly_flags присутствует флаг 'cancelled_procedure'.","Наличие флага 'cancelled_procedure' указывает на то, что процедура закупки была отменена или приостановлена. Это требует дополнительной проверки для выяснения причин (например, несоответствие требованиям закона, изменение потребностей заказчика или технические ошибки). Отсутствие информации о победителе и итоговой стоимости контракта подтверждает статус незавершенной процедуры.","Отмена закупки может свидетельствовать о необходимости пересмотра условий тендера, изменения технического задания или выявления нарушений на этапе планирования. Это событие важно для мониторинга эффективности расходования средств и соблюдения процедурных норм.","В предоставленных данных отсутствуют конкретные причины отмены процедуры, информация об участниках (поставщиках), которые могли принять участие в закупке до её отмены, а также детали о том, на какой стадии процесса произошла отмена. Документальная верификация требуется для подтверждения фактов."
